0.000 1	1.021 1.981 2.871
0.000 299	1.023 2.027 2.841
0.050 325	1.025 2.020 2.829
0.100 349	1.025 2.008 2.844
0.150 400	1.025 2.042 2.874
0.200 450	1.026 2.034 2.843
0.250 499	1.027 2.023 2.850
0.300 549	1.027 2.022 2.825
0.350 599	1.027 2.029 2.857
0.400 649	1.028 2.024 2.819
0.450 699	1.029 2.026 2.837
0.500 849	1.030 2.033 2.862
0.550 999	1.032 2.027 2.849
0.600 1711	1.049 2.044 2.871
0.650 6971	1.086 2.059 2.861
0.700 35974	1.348 2.467 3.279
0.750 45987	1.459 2.683 3.540
0.800 67975	1.535 2.899 3.831
0.850 120321	1.671 3.324 4.499
0.900 299656	1.951 4.265 6.053
0.950 9999683	2.930 7.756 13.105
