0.000 1	1.355 1.600 1.600
0.000 3315	1.028 1.540 2.114
0.050 6638	1.072 1.627 2.140
0.100 9901	1.108 1.673 2.204
0.150 19801	1.179 1.846 2.396
0.200 24884	1.248 2.045 2.605
0.250 29822	1.281 2.125 2.738
0.300 39614	1.335 2.299 2.966
0.350 49541	1.391 2.458 3.282
0.400 60923	1.455 2.687 3.577
0.450 72553	1.488 2.832 3.812
0.500 109735	1.554 3.046 4.117
0.550 195991	1.734 3.793 5.429
0.600 576082	2.080 4.646 6.731
0.650 973925	2.436 5.485 7.918
0.700 1461789	2.573 6.036 9.333
0.750 1971290	2.624 6.411 9.933
0.800 3402433	2.758 7.314 11.977
0.850 4915472	2.930 8.098 13.550
0.900 8430729	3.073 8.746 14.429
0.950 29997454	3.307 8.064 11.796
