0.000 1	1.358 1.566 1.566
0.000 3308	1.031 1.506 2.020
0.050 6641	1.074 1.596 2.111
0.100 9930	1.113 1.647 2.168
0.150 19894	1.182 1.829 2.344
0.200 24952	1.252 2.018 2.655
0.250 29900	1.286 2.122 2.709
0.300 39759	1.334 2.312 2.986
0.350 49700	1.385 2.441 3.299
0.400 61071	1.459 2.697 3.573
0.450 72613	1.488 2.815 3.810
0.500 110342	1.558 3.050 4.208
0.550 196538	1.735 3.842 5.553
0.600 579880	2.201 4.758 6.969
0.650 977920	2.515 5.741 8.460
0.700 1469529	2.657 6.242 9.660
0.750 1978484	2.740 6.802 11.092	
0.800 3426454	2.831 7.599 12.374	
0.850 4934613	3.009 8.294 12.895	
0.900 8471461	3.135 8.716 13.335	
0.950 29997454	3.329 8.118 12.136	
