0.000 1	1.357 1.560 1.560
0.000 3308	1.030 1.500 2.020
0.050 6641	1.074 1.585 2.072
0.100 9931	1.114 1.642 2.179
0.150 19894	1.179 1.845 2.366
0.200 24952	1.255 2.033 2.669
0.250 29900	1.282 2.116 2.706
0.300 39759	1.338 2.315 2.980
0.350 49700	1.386 2.447 3.287
0.400 61071	1.458 2.668 3.553
0.450 72613	1.490 2.829 3.856
0.500 110342	1.564 3.027 4.201
0.550 196538	1.739 3.795 5.520
0.600 579880	2.218 4.752 6.956
0.650 978043	2.514 5.808 8.370
0.700 1469590	2.659 6.241 9.770
0.750 1978484	2.744 6.762 11.010
0.800 3426454	2.836 7.520 12.202
0.850 4934598	3.015 8.358 13.098
0.900 8470238	3.136 8.672 13.433
0.950 29997454	3.337 8.100 11.816
